Unnamed: 0,scrape_id,latitude,neighbourhood_cleansed,property_type,host_since,host_response_time,host_acceptance_rate,host_listings_count,host_has_profile_pic,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_30,availability_90,availability_eoy,number_of_reviews_ltm,number_of_reviews_ly,review_scores_rating,review_scores_cleanliness,review_scores_location
6456,20250612050654,41.38095,la Barceloneta,Private room in rental unit,2017-04-20,within an hour,100%,3.0,t,1,1 shared bath,1.0,$43.00,90,32.0,1125.0,1125.0,25,85,175,1,1,4.25,4.25,5.0
6457,20250612050654,41.37186,el Poble Sec,Entire rental unit,2013-11-20,within an hour,100%,1.0,t,3,1 bath,1.0,$320.00,365,5.0,365.0,365.0,1,45,140,59,44,5.0,4.96,4.93
6458,20250612050654,41.40941,el Baix Guinardó,Private room in rental unit,2019-08-05,within a few hours,80%,1.0,t,2,0 shared baths,1.0,$30.00,180,32.0,180.0,180.0,0,0,14,1,0,5.0,5.0,4.77
6459,20250612050654,41.38956,l'Antiga Esquerra de l'Eixample,Private room in rental unit,2019-12-22,within an hour,98%,1.0,t,1,1 shared bath,1.0,$55.00,60,4.0,60.0,60.0,0,0,0,30,32,4.89,4.87,4.99
6460,20250612050654,41.39114,la Dreta de l'Eixample,Entire rental unit,2013-05-23,within an hour,99%,12.0,t,6,2 baths,3.0,$514.00,365,31.0,999.0,999.0,8,40,138,27,25,4.93,4.85,4.94
6461,20250612050654,41.40116,el Poblenou,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,4,1 bath,3.0,$225.00,1125,5.0,1125.0,202.7,5,28,130,15,12,4.35,4.44,4.63
6462,20250612050654,41.40077,el Poblenou,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,6,2 baths,4.0,$414.00,1125,5.0,1125.0,184.4,5,31,133,14,10,4.25,4.39,4.63
6463,20250612050654,41.3993,el Poblenou,Entire rental unit,2019-08-20,within an hour,100%,3.0,t,6,1 bath,4.0,$251.00,1125,7.0,30.0,30.0,9,53,148,20,10,4.56,4.5,4.83
6464,20250612050654,41.39816,el Poblenou,Entire rental unit,2019-08-20,within an hour,100%,3.0,t,6,2 baths,3.0,$259.00,1125,7.0,30.0,30.0,21,76,178,11,7,4.5,4.5,4.88
6465,20250612050654,41.38144,el Barri Gòtic,Room in hotel,2018-03-16,within an hour,92%,3.0,t,1,1 bath,1.0,$141.00,1125,2.0,1125.0,1125.0,7,52,154,22,17,4.51,4.78,4.75
